planner,domain,problem,complexity,search,heuristic,solved,plan_length,time,nodes_expanded,output,plan_actions,plan_cost,search_time,total_time_fd,nodes_generated
PP-ASTAR-ADD,blocksworld,BW-1,5,astar,hadd,True,12.0,0.0725,40.0,"2026-02-13 16:45:40,041 INFO     using search: astar_search
2026-02-13 16:45:40,041 INFO     using heuristic: hAddHeuristic
2026-02-13 16:45:40,041 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-ADD_BW-1_hy05edra/domain.pddl
2026-02-13 16:45:40,041 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-ADD_BW-1_hy05edra/problem.pddl
2026-02-13 16:45:40,042 INFO     5 Predicates parsed
2026-02-13 16:45:40,042 INFO     4 Actions parsed
2026-02-13 16:45:40,042 INFO     5 Objects parsed
2026-02-13 16:45:40,042 INFO     0 Constants parsed
2026-02-13 16:45:40,042 INFO     Grounding start: blocks-5-0
2026-02-13 16:45:40,042 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,042 INFO     Grounding end: blocks-5-0
2026-02-13 16:45:40,042 INFO     41 Variables created
2026-02-13 16:45:40,042 INFO     60 Operators created
2026-02-13 16:45:40,042 INFO     Search start: blocks-5-0
2026-02-13 16:45:40,042 INFO     Initial h value: 12.000000
2026-02-13 16:45:40,048 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:40,048 INFO     40 Nodes expanded
2026-02-13 16:45:40,048 INFO     Search end: blocks-5-0
2026-02-13 16:45:40,048 INFO     Search time: 0.0064
2026-02-13 16:45:40,048 INFO     Plan length: 12
2026-02-13 16:45:40,059 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack c e)', '(put-down c)', '(pick-up d)', '(stack d c)', '(unstack e b)']",,,,
PP-ASTAR-FF,blocksworld,BW-1,5,astar,hff,True,12.0,0.0703,25.0,"2026-02-13 16:45:40,029 INFO     using search: astar_search
2026-02-13 16:45:40,030 INFO     using heuristic: hFFHeuristic
2026-02-13 16:45:40,030 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-FF_BW-1_yo4c6yqd/domain.pddl
2026-02-13 16:45:40,030 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-FF_BW-1_yo4c6yqd/problem.pddl
2026-02-13 16:45:40,030 INFO     5 Predicates parsed
2026-02-13 16:45:40,030 INFO     4 Actions parsed
2026-02-13 16:45:40,030 INFO     5 Objects parsed
2026-02-13 16:45:40,030 INFO     0 Constants parsed
2026-02-13 16:45:40,030 INFO     Grounding start: blocks-5-0
2026-02-13 16:45:40,030 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,030 INFO     Grounding end: blocks-5-0
2026-02-13 16:45:40,030 INFO     41 Variables created
2026-02-13 16:45:40,030 INFO     60 Operators created
2026-02-13 16:45:40,031 INFO     Search start: blocks-5-0
2026-02-13 16:45:40,031 INFO     Initial h value: 8.000000
2026-02-13 16:45:40,034 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:40,034 INFO     25 Nodes expanded
2026-02-13 16:45:40,034 INFO     Search end: blocks-5-0
2026-02-13 16:45:40,034 INFO     Search time: 0.0035
2026-02-13 16:45:40,034 INFO     Plan length: 12
2026-02-13 16:45:40,049 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack c e)', '(put-down c)', '(pick-up d)', '(stack d c)', '(unstack e b)']",,,,
PP-GBF-FF,blocksworld,BW-1,5,gbf,hff,True,12.0,0.0655,18.0,"2026-02-13 16:45:40,037 INFO     using search: greedy_best_first_search
2026-02-13 16:45:40,037 INFO     using heuristic: hFFHeuristic
2026-02-13 16:45:40,037 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-GBF-FF_BW-1_5k5gs98c/domain.pddl
2026-02-13 16:45:40,037 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-GBF-FF_BW-1_5k5gs98c/problem.pddl
2026-02-13 16:45:40,038 INFO     5 Predicates parsed
2026-02-13 16:45:40,038 INFO     4 Actions parsed
2026-02-13 16:45:40,038 INFO     5 Objects parsed
2026-02-13 16:45:40,038 INFO     0 Constants parsed
2026-02-13 16:45:40,038 INFO     Grounding start: blocks-5-0
2026-02-13 16:45:40,038 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,038 INFO     Grounding end: blocks-5-0
2026-02-13 16:45:40,038 INFO     41 Variables created
2026-02-13 16:45:40,038 INFO     60 Operators created
2026-02-13 16:45:40,038 INFO     Search start: blocks-5-0
2026-02-13 16:45:40,038 INFO     Initial h value: 8.000000
2026-02-13 16:45:40,040 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:40,040 INFO     18 Nodes expanded
2026-02-13 16:45:40,040 INFO     Search end: blocks-5-0
2026-02-13 16:45:40,040 INFO     Search time: 0.0023
2026-02-13 16:45:40,040 INFO     Plan length: 12
2026-02-13 16:45:40,049 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack c e)', '(put-down c)', '(pick-up d)', '(stack d c)', '(unstack e b)']",,,,
PP-ASTAR-ADD,blocksworld,BW-2,7,astar,hadd,True,22.0,0.1255,47.0,"2026-02-13 16:45:40,064 INFO     using search: astar_search
2026-02-13 16:45:40,064 INFO     using heuristic: hAddHeuristic
2026-02-13 16:45:40,064 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-ADD_BW-2_fgofmh_8/domain.pddl
2026-02-13 16:45:40,064 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-ADD_BW-2_fgofmh_8/problem.pddl
2026-02-13 16:45:40,064 INFO     5 Predicates parsed
2026-02-13 16:45:40,065 INFO     4 Actions parsed
2026-02-13 16:45:40,065 INFO     7 Objects parsed
2026-02-13 16:45:40,065 INFO     0 Constants parsed
2026-02-13 16:45:40,065 INFO     Grounding start: blocks-7-0
2026-02-13 16:45:40,065 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,065 INFO     Grounding end: blocks-7-0
2026-02-13 16:45:40,065 INFO     71 Variables created
2026-02-13 16:45:40,065 INFO     112 Operators created
2026-02-13 16:45:40,066 INFO     Search start: blocks-7-0
2026-02-13 16:45:40,066 INFO     Initial h value: 51.000000
2026-02-13 16:45:40,081 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:40,081 INFO     47 Nodes expanded
2026-02-13 16:45:40,081 INFO     Search end: blocks-7-0
2026-02-13 16:45:40,081 INFO     Search time: 0.015
2026-02-13 16:45:40,081 INFO     Plan length: 22
2026-02-13 16:45:40,118 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack e g)', '(put-down e)', '(unstack g b)', '(put-down g)', '(unstack b a)']",,,,
PP-ASTAR-FF,blocksworld,BW-2,7,astar,hff,True,20.0,0.1515,110.0,"2026-02-13 16:45:40,046 INFO     using search: astar_search
2026-02-13 16:45:40,046 INFO     using heuristic: hFFHeuristic
2026-02-13 16:45:40,046 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-FF_BW-2_bym42_qn/domain.pddl
2026-02-13 16:45:40,046 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-FF_BW-2_bym42_qn/problem.pddl
2026-02-13 16:45:40,046 INFO     5 Predicates parsed
2026-02-13 16:45:40,046 INFO     4 Actions parsed
2026-02-13 16:45:40,046 INFO     7 Objects parsed
2026-02-13 16:45:40,046 INFO     0 Constants parsed
2026-02-13 16:45:40,046 INFO     Grounding start: blocks-7-0
2026-02-13 16:45:40,047 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,047 INFO     Grounding end: blocks-7-0
2026-02-13 16:45:40,047 INFO     71 Variables created
2026-02-13 16:45:40,047 INFO     112 Operators created
2026-02-13 16:45:40,047 INFO     Search start: blocks-7-0
2026-02-13 16:45:40,048 INFO     Initial h value: 13.000000
2026-02-13 16:45:40,087 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:40,087 INFO     110 Nodes expanded
2026-02-13 16:45:40,088 INFO     Search end: blocks-7-0
2026-02-13 16:45:40,088 INFO     Search time: 0.038
2026-02-13 16:45:40,088 INFO     Plan length: 20
2026-02-13 16:45:40,132 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack e g)', '(put-down e)', '(unstack g b)', '(put-down g)', '(unstack b a)']",,,,
PP-GBF-FF,blocksworld,BW-2,7,gbf,hff,True,22.0,0.141,36.0,"2026-02-13 16:45:40,064 INFO     using search: greedy_best_first_search
2026-02-13 16:45:40,064 INFO     using heuristic: hFFHeuristic
2026-02-13 16:45:40,064 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-GBF-FF_BW-2_9o7st434/domain.pddl
2026-02-13 16:45:40,064 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-GBF-FF_BW-2_9o7st434/problem.pddl
2026-02-13 16:45:40,064 INFO     5 Predicates parsed
2026-02-13 16:45:40,064 INFO     4 Actions parsed
2026-02-13 16:45:40,064 INFO     7 Objects parsed
2026-02-13 16:45:40,064 INFO     0 Constants parsed
2026-02-13 16:45:40,064 INFO     Grounding start: blocks-7-0
2026-02-13 16:45:40,065 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,065 INFO     Grounding end: blocks-7-0
2026-02-13 16:45:40,065 INFO     71 Variables created
2026-02-13 16:45:40,065 INFO     112 Operators created
2026-02-13 16:45:40,066 INFO     Search start: blocks-7-0
2026-02-13 16:45:40,067 INFO     Initial h value: 13.000000
2026-02-13 16:45:40,083 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:40,083 INFO     36 Nodes expanded
2026-02-13 16:45:40,083 INFO     Search end: blocks-7-0
2026-02-13 16:45:40,083 INFO     Search time: 0.016
2026-02-13 16:45:40,083 INFO     Plan length: 22
2026-02-13 16:45:40,124 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack e g)', '(put-down e)', '(unstack g b)', '(put-down g)', '(unstack b a)']",,,,
PP-ASTAR-ADD,blocksworld,BW-3,9,astar,hadd,True,34.0,1.0372,962.0,"2026-02-13 16:45:40,092 INFO     using search: astar_search
2026-02-13 16:45:40,092 INFO     using heuristic: hAddHeuristic
2026-02-13 16:45:40,092 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-ADD_BW-3_wto5x5by/domain.pddl
2026-02-13 16:45:40,093 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-ADD_BW-3_wto5x5by/problem.pddl
2026-02-13 16:45:40,093 INFO     5 Predicates parsed
2026-02-13 16:45:40,093 INFO     4 Actions parsed
2026-02-13 16:45:40,093 INFO     9 Objects parsed
2026-02-13 16:45:40,093 INFO     0 Constants parsed
2026-02-13 16:45:40,093 INFO     Grounding start: blocks-9-1
2026-02-13 16:45:40,094 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,094 INFO     Grounding end: blocks-9-1
2026-02-13 16:45:40,094 INFO     109 Variables created
2026-02-13 16:45:40,094 INFO     180 Operators created
2026-02-13 16:45:40,094 INFO     Search start: blocks-9-1
2026-02-13 16:45:40,095 INFO     Initial h value: 78.000000
2026-02-13 16:45:41,076 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:41,076 INFO     962 Nodes expanded
2026-02-13 16:45:41,077 INFO     Search end: blocks-9-1
2026-02-13 16:45:41,077 INFO     Search time: 0.86
2026-02-13 16:45:41,077 INFO     Plan length: 34
2026-02-13 16:45:41,094 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack f e)', '(put-down f)', '(unstack e b)', '(put-down e)', '(unstack b d)']",,,,
PP-ASTAR-FF,blocksworld,BW-3,9,astar,hff,True,28.0,0.5852,694.0,"2026-02-13 16:45:40,089 INFO     using search: astar_search
2026-02-13 16:45:40,089 INFO     using heuristic: hFFHeuristic
2026-02-13 16:45:40,089 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-FF_BW-3_c1synwe8/domain.pddl
2026-02-13 16:45:40,089 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-FF_BW-3_c1synwe8/problem.pddl
2026-02-13 16:45:40,089 INFO     5 Predicates parsed
2026-02-13 16:45:40,089 INFO     4 Actions parsed
2026-02-13 16:45:40,089 INFO     9 Objects parsed
2026-02-13 16:45:40,089 INFO     0 Constants parsed
2026-02-13 16:45:40,089 INFO     Grounding start: blocks-9-1
2026-02-13 16:45:40,090 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,090 INFO     Grounding end: blocks-9-1
2026-02-13 16:45:40,091 INFO     109 Variables created
2026-02-13 16:45:40,091 INFO     180 Operators created
2026-02-13 16:45:40,091 INFO     Search start: blocks-9-1
2026-02-13 16:45:40,091 INFO     Initial h value: 16.000000
2026-02-13 16:45:40,630 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:40,630 INFO     694 Nodes expanded
2026-02-13 16:45:40,631 INFO     Search end: blocks-9-1
2026-02-13 16:45:40,631 INFO     Search time: 0.48
2026-02-13 16:45:40,631 INFO     Plan length: 28
2026-02-13 16:45:40,634 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack f e)', '(put-down f)', '(unstack e b)', '(put-down e)', '(unstack b d)']",,,,
PP-GBF-FF,blocksworld,BW-3,9,gbf,hff,True,64.0,0.566,813.0,"2026-02-13 16:45:40,089 INFO     using search: greedy_best_first_search
2026-02-13 16:45:40,089 INFO     using heuristic: hFFHeuristic
2026-02-13 16:45:40,089 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-GBF-FF_BW-3_4qqznil3/domain.pddl
2026-02-13 16:45:40,089 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-GBF-FF_BW-3_4qqznil3/problem.pddl
2026-02-13 16:45:40,089 INFO     5 Predicates parsed
2026-02-13 16:45:40,089 INFO     4 Actions parsed
2026-02-13 16:45:40,089 INFO     9 Objects parsed
2026-02-13 16:45:40,089 INFO     0 Constants parsed
2026-02-13 16:45:40,089 INFO     Grounding start: blocks-9-1
2026-02-13 16:45:40,091 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,091 INFO     Grounding end: blocks-9-1
2026-02-13 16:45:40,091 INFO     109 Variables created
2026-02-13 16:45:40,091 INFO     180 Operators created
2026-02-13 16:45:40,091 INFO     Search start: blocks-9-1
2026-02-13 16:45:40,091 INFO     Initial h value: 16.000000
2026-02-13 16:45:40,618 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:40,618 INFO     813 Nodes expanded
2026-02-13 16:45:40,619 INFO     Search end: blocks-9-1
2026-02-13 16:45:40,619 INFO     Search time: 0.47
2026-02-13 16:45:40,619 INFO     Plan length: 64
2026-02-13 16:45:40,621 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack f e)', '(put-down f)', '(unstack e b)', '(put-down e)', '(pick-up f)']",,,,
PP-ASTAR-ADD,blocksworld,BW-4,12,astar,hadd,True,46.0,8.4157,3839.0,"2026-02-13 16:45:40,178 INFO     using search: astar_search
2026-02-13 16:45:40,178 INFO     using heuristic: hAddHeuristic
2026-02-13 16:45:40,178 INFO     Parsing Domain /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-ADD_BW-4_o_dlseiz/domain.pddl
2026-02-13 16:45:40,179 INFO     Parsing Problem /var/folders/jg/8lj0__cx69s42_74bth8bf5m0000gn/T/pp_PP-ASTAR-ADD_BW-4_o_dlseiz/problem.pddl
2026-02-13 16:45:40,179 INFO     5 Predicates parsed
2026-02-13 16:45:40,179 INFO     4 Actions parsed
2026-02-13 16:45:40,179 INFO     12 Objects parsed
2026-02-13 16:45:40,179 INFO     0 Constants parsed
2026-02-13 16:45:40,179 INFO     Grounding start: blocks-12-0
2026-02-13 16:45:40,181 INFO     Relevance analysis removed 0 facts
2026-02-13 16:45:40,181 INFO     Grounding end: blocks-12-0
2026-02-13 16:45:40,181 INFO     181 Variables created
2026-02-13 16:45:40,181 INFO     312 Operators created
2026-02-13 16:45:40,181 INFO     Search start: blocks-12-0
2026-02-13 16:45:40,181 INFO     Initial h value: 70.000000
2026-02-13 16:45:48,532 INFO     Goal reached. Start extraction of solution.
2026-02-13 16:45:48,532 INFO     3839 Nodes expanded
2026-02-13 16:45:48,537 INFO     Search end: blocks-12-0
2026-02-13 16:45:48,537 INFO     Search time: 7.7
2026-02-13 16:45:48,537 INFO     Plan length: 46
2026-02-13 16:45:48,552 INFO     validate could not be found on the PATH so the plan can not be validated.

","['(unstack h a)', '(put-down h)', '(unstack a g)', '(stack a h)', '(unstack g k)']",,,,
